split,method,cand_rec,pair_prec,pair_rec,macro_f05,total_cand,avg_cand,median_cand,p95_cand,max_cand,reduction_ratio,unresolved_s1,unresolved_pct,sing_fpr
Validation (20%),Exact Raw Business Name,0.04640373811708979,0.04219582333553379,0.04640373811708979,0.10527350230013076,1679953,3.8062669219353595,0.0,18.0,314,0.9999996311835125,282662,64.04268575895235,27.8510284392876
Validation (20%),Exact Normalized Business Name,0.2580344249267158,0.08006716934666293,0.2580344249267158,0.3555397980652435,4923079,11.154212499858394,2.0,70.0,502,0.9999989191883912,109335,24.772014092644408,38.881901902714105
Validation (20%),Exact Raw Address,0.02226085909136732,0.8299814507468515,0.02226085909136732,0.10144144780734034,40972,0.09283019722905078,0.0,1.0,5,0.9999999910050167,402053,91.09308622115483,1.4402206986084627
Validation (20%),Exact Normalized Address,0.08227732922060153,0.8195778477669751,0.08227732922060153,0.20324738162130698,153357,0.3474607184529811,0.0,2.0,20,0.9999999663320402,335065,75.91562538941692,3.136029859223498
Validation (20%),Exact Norm Name + Norm Address,0.015298367257697298,1.0,0.015298367257697298,0.0873937540834966,23370,0.05294937296795169,0.0,0.0,4,0.9999999948693556,419771,95.10745074937977,0.0
Validation (20%),Country + Exact Raw Business Name,0.04640373811708979,0.04240396193830617,0.04640373811708979,0.10542014406094363,1671707,3.7875839724491067,0.0,18.0,312,0.9999996329938374,282796,64.07304611829213,27.81857276157248
Validation (20%),Country + Exact Normalized Business Name,0.2580344249267158,0.0803128185474349,0.2580344249267158,0.3558612478819383,4908021,11.120095612474936,2.0,70.0,501,0.9999989224942211,109402,24.7871942723143,38.829161426427035
Validation (20%),Country + Exact Raw Address,0.02226085909136732,0.8299814507468515,0.02226085909136732,0.10144144780734021,40972,0.09283019722905078,0.0,1.0,5,0.9999999910050167,402053,91.09308622115483,1.4402206986084627
Validation (20%),Country + Exact Normalized Address,0.08227732922060153,0.8195778477669751,0.08227732922060153,0.20324738162130696,153357,0.3474607184529811,0.0,2.0,20,0.9999999663320402,335065,75.91562538941692,3.136029859223498
Validation (20%),Country + Norm Name + Norm Address,0.015298367257697298,1.0,0.015298367257697298,0.0873937540834966,23370,0.05294937296795169,0.0,0.0,4,0.9999999948693556,419771,95.10745074937977,0.0
Validation (20%),Country + Legal-Normalized Name,0.39338995322116715,0.03971779289020391,0.39338995322116715,0.38170563755245035,15130448,34.28103270535724,3.0,166.0,1355,0.9999966782649956,51193,11.598790117023325,61.329060002434176
Validation (20%),Country + Legal-Norm Name + Norm Address,0.02482040620209032,0.9998945147679325,0.02482040620209032,0.10573272132147792,37920,0.0859152855346482,0.0,1.0,5,0.999999991675052,407826,92.40107394106917,0.008113919428780071
Full Training (100%),Exact Raw Business Name,0.04636044493815103,0.042209324723275383,0.04636044493815103,0.10520168118969142,8389568,3.801653147219462,0.0,18.0,706,0.9999996316305741,1415846,64.15771827438655,27.532516004446357
Full Training (100%),Exact Normalized Business Name,0.2578682741660028,0.0804413580444809,0.2578682741660028,0.3555355858241224,24486061,11.095626242454644,2.0,69.0,1071,0.9999989248652337,548896,24.872701501390463,38.73846827914675
Full Training (100%),Exact Raw Address,0.022265759753559825,0.8297142634123496,0.022265759753559825,0.10144637120300899,204979,0.09288428921058844,0.0,1.0,6,0.9999999909997753,2010143,91.08772301876772,1.4101763126080147
Full Training (100%),Exact Normalized Address,0.08265891980810029,0.8201719118798981,0.08265891980810029,0.20379501500456307,769813,0.34883345772040414,0.0,2.0,20,0.9999999661990256,1673797,75.84652312081496,3.039424894723604
Full Training (100%),Exact Norm Name + Norm Address,0.015413638913563309,1.0,0.015413638913563309,0.08763321880783125,117735,0.0533504982959651,0.0,0.0,4,0.9999999948304877,2098109,95.07381885526738,0.0
Full Training (100%),Country + Exact Raw Business Name,0.04636044493815103,0.04244174953233751,0.04636044493815103,0.10534844576140788,8343624,3.7808340594910055,0.0,18.0,706,0.9999996336478848,1416520,64.18825994496156,27.49438120197652
Full Training (100%),Country + Exact Normalized Business Name,0.2578682741660028,0.08071551850147592,0.2578682741660028,0.35584775986228245,24402891,11.057938545989911,2.0,69.0,1071,0.9999989285170648,549251,24.888787989601333,38.692219688917376
Full Training (100%),Country + Exact Raw Address,0.022265759753559825,0.8297142634123496,0.022265759753559825,0.1014463712030094,204979,0.09288428921058844,0.0,1.0,6,0.9999999909997753,2010143,91.08772301876772,1.4101763126080147
Full Training (100%),Country + Exact Normalized Address,0.08265891980810029,0.8201719118798981,0.08265891980810029,0.20379501500456024,769813,0.34883345772040414,0.0,2.0,20,0.9999999661990256,1673797,75.84652312081496,3.039424894723604
Full Training (100%),Country + Norm Name + Norm Address,0.015413638913563309,1.0,0.015413638913563309,0.0876332188078313,117735,0.0533504982959651,0.0,0.0,4,0.9999999948304877,2098109,95.07381885526738,0.0
Full Training (100%),Country + Legal-Normalized Name,0.39351078404868056,0.03993979039183682,0.39351078404868056,0.38226038015164143,75257756,34.10233815973294,3.0,165.0,1355,0.9999966955799912,255940,11.597678289267684,61.15442972242732
Full Training (100%),Country + Legal-Norm Name + Norm Address,0.024968694216628822,0.9998532094700862,0.024968694216628822,0.10601508779797292,190748,0.08643564657033806,0.0,1.0,5,0.9999999916246306,2038210,92.359552496555,0.0032455151038159147
