ngram_config,grouping,k,pair_recall,s1_complete_recovery,precision,total_candidates,avg_candidates_per_s1,median_candidates,p95_candidates,p99_candidates,max_candidates,zero_candidate_s1s,config_runtime_s,config_peak_ram_mb
3_5,OVERALL,5,0.4482879837445847,0.1747257124756429,0.31031687339021174,2206812,4.999970545920044,5.0,5.0,5.0,5,2,14597.202564001083,477.00390625
3_5,India,5,0.4100685165760367,0.1503345965652883,0.2837328321199289,883190,5.0,5.0,5.0,5.0,5,0,0.0,0.0
3_5,US,5,0.4737709228702888,0.19099972794341222,0.3280551396093447,1323622,4.9999508928065515,5.0,5.0,5.0,5,2,0.0,0.0
3_5,OVERALL,10,0.5285261852797892,0.25100788066692903,0.18293007034360223,4413621,9.999934294744712,10.0,10.0,10.0,10,2,14597.202564001083,477.00390625
3_5,US,10,0.5621191440239777,0.27964616640261175,0.19461545057665697,2647241,9.999890453183847,10.0,10.0,10.0,10,2,0.0,0.0
3_5,India,10,0.47814326133665414,0.20808548402571236,0.16541740735289123,1766380,10.0,10.0,10.0,10.0,10,0,0.0,0.0
3_5,OVERALL,20,0.5881871991222913,0.3134436882673092,0.10295589876365563,8727261,19.77334179194091,20.0,20.0,20.0,20,2,14597.202564001083,477.00390625
3_5,India,20,0.5302188046663928,0.25440132399501103,0.09171667478119092,3532760,20.0,20.0,20.0,20.0,20,0,0.0,0.0
3_5,US,20,0.6268377920418626,0.3528373901771569,0.11059965143908915,5194501,19.62210503650931,20.0,20.0,20.0,20,2,0.0,0.0
3_5,OVERALL,50,0.6498087867746695,0.38211395770740747,0.04581173657354994,21668181,49.0935642835295,50.0,50.0,50.0,50,2,14597.202564001083,477.00390625
3_5,India,50,0.5862708294809464,0.3101494291470786,0.04056499733919089,8831900,50.0,50.0,50.0,50.0,50,0,0.0,0.0
3_5,US,50,0.6921729016574634,0.43012946692912124,0.049421713345165943,12836281,48.4887487864857,50.0,50.0,50.0,50,2,0.0,0.0
3_6,OVERALL,5,0.45773212342908615,0.1765374979602415,0.31685320959570784,2206820,4.999988671507709,5.0,5.0,5.0,5,1,14800.098709821701,527.41796875
3_6,US,5,0.4904055662663485,0.19492854513738858,0.33957148145629823,1323630,4.999981112617904,5.0,5.0,5.0,5,1,0.0,0.0
3_6,India,5,0.40872829503856206,0.14897342415811188,0.2828055118377699,883190,5.0,5.0,5.0,5.0,5,0,0.0,0.0
3_6,OVERALL,10,0.5389385014800859,0.25236372013553593,0.18653311099228753,4413640,9.999977343015418,10.0,10.0,10.0,10,1,14800.098709821701,527.41796875
3_6,US,10,0.5807548326770472,0.28359098692528045,0.2010660078722906,2647260,9.999962225235809,10.0,10.0,10.0,10,1,0.0,0.0
3_6,India,10,0.4762221134917271,0.20556101890050849,0.1647527712043841,1766380,10.0,10.0,10.0,10.0,10,0,0.0,0.0
3_6,OVERALL,20,0.5992534763362997,0.31466994307873947,0.1037044253722551,8827280,19.999954686030836,20.0,20.0,20.0,20,1,14800.098709821701,527.41796875
3_6,US,20,0.6466725803336748,0.3576543921135596,0.11194385893338774,5294520,19.999924450471617,20.0,20.0,20.0,20,1,0.0,0.0
3_6,India,20,0.5281340156080989,0.25024585052288206,0.09135605022701797,3532760,20.0,20.0,20.0,20.0,20,0,0.0,0.0
3_6,OVERALL,50,0.6613136564603361,0.3818475892454333,0.045777725414850326,22068200,49.99988671507709,50.0,50.0,50.0,50,1,14800.098709821701,527.41796875
3_6,India,50,0.5833661979436845,0.3028458697112156,0.04036402133176327,8831900,50.0,50.0,50.0,50.0,50,0,0.0,0.0
3_6,US,50,0.7132853475261342,0.43455838814473413,0.04939001080362337,13236300,49.99981112617905,50.0,50.0,50.0,50,1,0.0,0.0
